project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,longitude,latitude,planning_area,subzone
LANDED HOUSING DEVELOPMENT in FABER GROVE,20 FABER GROVE FABER HILLS SINGAPORE 129233,13890.552187597845,13890.552187597845,private,103.75582547477666,1.3228162587496912,CLEMENTI,FABER
LANDED HOUSING DEVELOPMENT in LAKESHORE VIEW,54 LAKESHORE VIEW SINGAPORE 098441,18977.90429713976,19848.448415307997,private,103.83629891324776,1.2513105447748385,SOUTHERN ISLANDS,SENTOSA
ALTEZ,16 ENGGOR STREET ALTEZ SINGAPORE 079717,21321.42857142857,21689.728045964897,private,103.84431955372328,1.2746179410524223,DOWNTOWN CORE,TANJONG PAGAR
ISLAND VIEW,38D JALAN MAT JAMBOL ISLAND VIEW SINGAPORE 119522,13169.23076923077,13478.299882719211,private,103.79365746647711,1.2794076452222365,QUEENSTOWN,PASIR PANJANG 2
KENTVIEW PARK,87 PASIR PANJANG HILL KENTVIEW PARK SINGAPORE 118892,11512.396694214876,11746.468617377708,private,103.7857076630172,1.2819169435167093,QUEENSTOWN,PASIR PANJANG 1
ALEX RESIDENCES,28 ALEXANDRA VIEW ALEX RESIDENCES SINGAPORE 158744,21428.571428571428,21550.73512119581,private,103.81900078175173,1.290569996777552,BUKIT MERAH,REDHILL
THE GRANDHILL,39 PASIR PANJANG HILL THE GRANDHILL SINGAPORE 118860,15116.279069767445,15490.20089952289,private,103.78486945242656,1.2816263210663923,QUEENSTOWN,PASIR PANJANG 1
DOVER PARKVIEW,30 DOVER RISE DOVER PARKVIEW SINGAPORE 138687,13056.03448275862,13118.129232035406,private,103.78434569653288,1.3060939479574167,QUEENSTOWN,DOVER
MARINA BAY RESIDENCES,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,23232.323232323237,24226.628216815137,private,103.8549872038058,1.2796257989067608,DOWNTOWN CORE,CENTRAL SUBZONE
ICON,10 GOPENG STREET ICON SINGAPORE 078878,19074.074074074077,19000.43927551934,private,103.84449629851348,1.2751699949579876,DOWNTOWN CORE,TANJONG PAGAR
LANDED HOUSING DEVELOPMENT in FABER TERRACE,21 FABER TERRACE FABER HILLS SINGAPORE 129016,16134.17168868516,16134.17168868516,private,103.75572775276446,1.3210066052753924,CLEMENTI,FABER
WEST SHORE RESIDENCES,248E PASIR PANJANG ROAD WEST SHORE RESIDENCES SINGAPORE 117391,8314.087759815242,8223.648652832166,private,103.78477918449164,1.2812766196390857,QUEENSTOWN,PASIR PANJANG 1
LANDED HOUSING DEVELOPMENT in NEIL ROAD,NEIL ROAD,20229.265003371544,20229.265003371544,private,103.83773511814866,1.2770512730971606,BUKIT MERAH,EVERTON PARK
ICON @ PASIR PANJANG,218 PASIR PANJANG ROAD ICON @ PASIR PANJANG SINGAPORE 118579,15104.166666666666,15905.25852923448,private,103.78575618667038,1.2794867007096369,QUEENSTOWN,PASIR PANJANG 1
PASIR PANJANG LODGE,390 PASIR PANJANG ROAD PASIR PANJANG LODGE SINGAPORE 118722,10857.685563997662,10857.685563997662,private,103.7723798775079,1.2915543804977463,QUEENSTOWN,PASIR PANJANG 1
ROBINSON SUITES,50 ROBINSON ROAD ROBINSON SUITES SINGAPORE 068882,25733.333333333336,25179.750580069805,private,103.84982246576487,1.2809347445905586,DOWNTOWN CORE,CECIL
JULUCA,380 PASIR PANJANG ROAD JULUCA SINGAPORE 118712,8260.720927562852,8260.720927562852,private,103.77260253395428,1.2912545153772952,QUEENSTOWN,PASIR PANJANG 1
RESIDENTIAL APARTMENTS,25 LOWER KENT RIDGE ROAD NUS (RIDGE VIEW RESIDENTIAL COLLEGE (RVRC)) SINGAPORE 119081,11666.666666666666,11891.332270281744,private,103.77276728973078,1.2904771130913173,QUEENSTOWN,PASIR PANJANG 1
THE ESTIVA,313 PASIR PANJANG ROAD THE ESTIVA SINGAPORE 117482,14299.065420560748,14192.460205820871,private,103.77834329958064,1.2878349101371094,QUEENSTOWN,PASIR PANJANG 1
RIVER PLACE,66 HAVELOCK ROAD RIVER PLACE SINGAPORE 169661,16627.142857142855,16547.820329393024,private,103.841385089711,1.2902425961258717,SINGAPORE RIVER,ROBERTSON QUAY
QUEENSWAY TOWER,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,12790.20979020979,12672.306525342496,private,103.80339728783272,1.2875951893898572,QUEENSTOWN,QUEENSWAY
LANDED HOUSING DEVELOPMENT in FLOWER ROAD,24A FLOWER ROAD SINGAPORE 549420,26720.0,26767.812177608997,private,103.879090771017,1.3613975304148482,HOUGANG,KOVAN
LANDED HOUSING DEVELOPMENT in PASIR PANJANG ROAD,PASIR PANJANG ROAD 11KM,16334.531198954588,16874.20384597852,private,103.77246430439732,1.290495730546492,QUEENSTOWN,PASIR PANJANG 1
MONTEREY PARK CONDOMINIUM,33 WEST COAST RISE MONTEREY PARK CONDOMINIUM SINGAPORE 127476,14914.529914529914,14993.987616464265,private,103.75363894063872,1.3169015631943704,CLEMENTI,WEST COAST
QUEENS PEAK,3 DUNDEE ROAD QUEENS PEAK SINGAPORE 149457,21304.34782608696,21366.20868404034,private,103.80702012733846,1.294336667488726,QUEENSTOWN,MARGARET DRIVE
THE SAIL @ MARINA BAY,2 MARINA BOULEVARD THE SAIL @ MARINA BAY SINGAPORE 018987,20357.256778309413,21091.765702553526,private,103.85265856213984,1.280769434780921,DOWNTOWN CORE,CENTRAL SUBZONE
KENT RIDGE HILL RESIDENCES,56G SOUTH BUONA VISTA ROAD KENT RIDGE HILL RESIDENCES SINGAPORE 117294,19333.33333333333,19138.444114414982,private,103.7908220660721,1.2808887431567386,QUEENSTOWN,PASIR PANJANG 2
TERESA VILLE,1007 LOWER DELTA ROAD TERESA VILLE SINGAPORE 099310,17318.435754189944,17356.480114918937,private,103.82402466347922,1.276003419277985,BUKIT MERAH,TELOK BLANGAH RISE
BAYVILLE CONDOMINIUM,42 SOUTH BUONA VISTA ROAD BAYVILLE CONDOMINIUM SINGAPORE 118166,12517.241379310344,13469.27373614182,private,103.7877599736322,1.2811586078585222,QUEENSTOWN,PASIR PANJANG 2
GOLD COAST CONDOMINIUM,360 PASIR PANJANG ROAD GOLD COAST CONDOMINIUM SINGAPORE 118699,13321.167883211678,13607.593540347969,private,103.77460603766109,1.2905469205790892,QUEENSTOWN,PASIR PANJANG 1
TERESA 8,10D BUKIT TERESA CLOSE TERESA 8 SINGAPORE 099802,10000.0,9993.594223153972,private,103.82575870981522,1.2764129266618436,BUKIT MERAH,TELOK BLANGAH RISE
INTERNATIONAL PLAZA,10 ANSON ROAD INTERNATIONAL PLAZA SINGAPORE 079903,13125.0,13119.914252895116,private,103.8458978435635,1.27601222589155,DOWNTOWN CORE,TANJONG PAGAR
PEOPLE'S PARK CENTRE,101B UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058359,8544.303797468354,8810.082832643062,private,103.8439298203305,1.285757742307,OUTRAM,PEARL'S HILL
ONZE @ TANJONG PAGAR,11 KEE SENG STREET ONZE @ TANJONG PAGAR SINGAPORE 089218,23962.2641509434,24051.09252415224,private,103.8421848156477,1.2748497483784151,OUTRAM,CHINATOWN
LANDED HOUSING DEVELOPMENT in PEARL ISLAND,25 PEARL ISLAND SINGAPORE 098120,21875.0,20947.50176073992,private,103.83552800762985,1.2406044012628326,SOUTHERN ISLANDS,SENTOSA
THE BEACON,130 CANTONMENT ROAD THE BEACON SINGAPORE 089775,16111.111111111111,15996.43427164478,private,103.84048099436532,1.2758748352120268,BUKIT MERAH,EVERTON PARK
THE ARRIS,28 YAN KIT ROAD THE ARRIS SINGAPORE 088271,22888.88888888889,22551.46322246612,private,103.8415960229474,1.2755010688441335,OUTRAM,CHINATOWN
PASIR PANJANG COURT,37A PASIR PANJANG CLOSE PASIR PANJANG COURT SINGAPORE 118980,12983.870967741936,13645.455748552524,private,103.77261773929268,1.2923319660205232,QUEENSTOWN,PASIR PANJANG 1
THE PEAK@BALMEG,17 BALMEG HILL THE PEAK@BALMEG SINGAPORE 119919,16738.197424892704,16815.87781824917,private,103.78383561134912,1.28245747065198,QUEENSTOWN,PASIR PANJANG 1
PEOPLE'S PARK COMPLEX,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,10192.307692307691,10877.61428175568,private,103.84258481080047,1.2841286263583669,OUTRAM,PEOPLE'S PARK
HARBOUR VIEW GARDENS,223 PASIR PANJANG ROAD HARBOUR VIEW GARDENS SINGAPORE 118584,20435.57168784029,20588.40247095454,private,103.7853518548633,1.2789203722216935,QUEENSTOWN,PASIR PANJANG 1
LANDED HOUSING DEVELOPMENT in JUBILEE ROAD,1D JUBILEE ROAD SINGAPORE 128522,15215.110178384051,13965.673122169692,private,103.76441646872183,1.3056521412541204,CLEMENTI,CLEMENTI WOODS
EDEN RESIDENCES CAPITOL,11 STAMFORD ROAD EDEN RESIDENCES CAPITOL SINGAPORE 178884,35970.12515000857,36358.88130400025,private,103.85104679070568,1.2929878313129173,DOWNTOWN CORE,CITY HALL
THE PARC CONDOMINIUM,15 WEST COAST WALK THE PARC CONDOMINIUM SINGAPORE 127162,16483.516483516483,16552.683741332392,private,103.7627451324895,1.3108846759079054,CLEMENTI,CLEMENTI CENTRAL
SPRINGDEW TERRACE,35 JALAN MAT JAMBOL SPRINGDEW TERRACE SINGAPORE 119516,20274.87259448792,20067.56676564756,private,103.79153093770238,1.2781279410528774,QUEENSTOWN,PASIR PANJANG 2
THE SPECTRUM,501 PASIR PANJANG ROAD THE SPECTRUM SINGAPORE 117506,13194.444444444443,12959.299082241654,private,103.7685851939768,1.2914488269703326,QUEENSTOWN,PASIR PANJANG 1
THE BERTH BY THE COVE,200 OCEAN DRIVE THE BERTH BY THE COVE SINGAPORE 098630,15686.27450980392,15447.470523233054,private,103.84631638503964,1.2492215480522937,SOUTHERN ISLANDS,SENTOSA
CHELSEA VILLAGE,33 JAMBOL PLACE CHELSEA VILLAGE SINGAPORE 119360,18562.874251497007,18988.518595049725,private,103.78998228776042,1.2779973802866067,QUEENSTOWN,PASIR PANJANG 2
PASIR VIEW PARK,200 PASIR PANJANG ROAD PASIR VIEW PARK SINGAPORE 118571,14736.175115207374,15056.94140775883,private,103.7875539324253,1.2788096497308752,QUEENSTOWN,PASIR PANJANG 2
LANDED HOUSING DEVELOPMENT in FABER WALK,43 FABER WALK FABER HILLS SINGAPORE 128972,12905.651718507246,12905.651718507246,private,103.75466123851496,1.3217040326630414,CLEMENTI,FABER
RIVERWALK APARTMENTS,418A FERNVALE LINK FERNVALE RIVERWALK SINGAPORE 791418,16644.736842105263,16991.348028190136,private,103.8484183285668,1.2889850167708692,SINGAPORE RIVER,BOAT QUAY
SANDY ISLAND,11 SANDY ISLAND SANDY ISLAND SINGAPORE 098247,14629.486318812076,15353.019167516532,private,103.8378803636004,1.2412335696187724,SOUTHERN ISLANDS,SENTOSA
TIONG BAHRU ESTATE,9 YONG SIAK STREET TIONG BAHRU ESTATE SINGAPORE 168645,31060.60606060606,31060.60606060606,private,103.83030723847648,1.2824729935019878,BUKIT MERAH,TIONG BAHRU
LANDED HOUSING DEVELOPMENT in FABER HEIGHTS,1 FABER HEIGHTS FABER HILLS SINGAPORE 129155,12614.55525606469,12974.350242907278,private,103.7575606540742,1.3212415164007163,CLEMENTI,FABER
THE STELLAR,20 WEST COAST ROAD THE STELLAR SINGAPORE 127308,14658.343012001547,14291.901542932568,private,103.76786573438729,1.2938062757003783,CLEMENTI,CLEMENTI WOODS
CHWEE CHIAN VIEW,52 CHWEE CHIAN VIEW CHWEE CHIAN VIEW SINGAPORE 119726,15847.142008959898,17202.49113603859,private,103.7873795491202,1.2798774615991382,QUEENSTOWN,PASIR PANJANG 2
VILLAGE @ PASIR PANJANG,463 PASIR PANJANG ROAD VILLAGE @ PASIR PANJANG SINGAPORE 118797,15988.235294117649,16120.414841342765,private,103.7700665634482,1.2908707415753091,QUEENSTOWN,PASIR PANJANG 1
THE TRILINQ,28B JALAN LEMPENG THE TRILINQ SINGAPORE 128809,17560.0,17207.924583742893,private,103.76113716107004,1.3186313361523323,CLEMENTI,FABER
WEST BAY CONDOMINIUM,60 WEST COAST CRESCENT WEST BAY CONDOMINIUM SINGAPORE 128040,10622.629582806574,10482.342143121708,private,103.7653882522013,1.2991998567096372,CLEMENTI,CLEMENTI WEST
LANDED HOUSING DEVELOPMENT in JALAN MAS KUNING,1A JALAN MAS KUNING WESTVIEW GARDEN SINGAPORE 128686,17454.068241469817,17454.068241469817,private,103.76271730184664,1.3079108834545543,CLEMENTI,CLEMENTI CENTRAL
THE BENCOOLEN,180B BENCOOLEN STREET THE BENCOOLEN SINGAPORE 189648,17200.660601265823,16727.710189472993,private,103.85335612316274,1.3016618882507491,ROCHOR,VICTORIA
CORAL ISLAND,17 CORAL ISLAND CORAL ISLAND SINGAPORE 098564,17157.73034877668,19740.289570636727,private,103.84645177649324,1.250989582551616,SOUTHERN ISLANDS,SENTOSA
COMMONWEALTH TOWERS,232 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149740,21219.51219512195,21378.068772855284,private,103.80651578015956,1.2954634291932612,QUEENSTOWN,MARGARET DRIVE
CAPE ROYALE,25 COVE WAY CAPE ROYALE SINGAPORE 098209,23544.68085106383,23841.24593201182,private,103.8396404850768,1.2407659898460262,SOUTHERN ISLANDS,SENTOSA
RIVIERE,15 RIVIERA DRIVE RIVIERA RESIDENCES SINGAPORE 467205,30256.88073394496,30256.656974476624,private,103.83528183209688,1.2917015975178603,SINGAPORE RIVER,ROBERTSON QUAY
KASARA,43 OCEAN DRIVE KASARA SINGAPORE 098189,17485.714285714286,16999.20634920635,private,103.8417857686398,1.2504147363558298,SOUTHERN ISLANDS,SENTOSA
TANGLIN VIEW,156 PRINCE CHARLES CRESCENT TANGLIN VIEW SINGAPORE 159015,16124.691358024693,16201.843541098871,private,103.81729521990172,1.292065647242285,BUKIT MERAH,ALEXANDRA NORTH
PALM MANSIONS,345 PASIR PANJANG ROAD PALM MANSIONS SINGAPORE 118684,13992.101648351649,14011.585648164948,private,103.77609616811787,1.2888804824410658,QUEENSTOWN,PASIR PANJANG 1
EALINE PARK,15 PASIR PANJANG DRIVE EALINE PARK SINGAPORE 118918,16551.301217594708,16551.301217594708,private,103.7711371744863,1.2920006268641313,QUEENSTOWN,PASIR PANJANG 1
RESIDENTIAL APARTMENTS,112 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238707,25303.225806451614,24494.39822872081,private,103.83466663592525,1.285279363664913,BUKIT MERAH,TIONG BAHRU
NEWEST,3 WEST COAST DRIVE NEWEST SINGAPORE 128021,10765.13216400825,11921.831082715997,private,103.75745126360631,1.3164132188899726,CLEMENTI,WEST COAST
SEAHILL,87 WEST COAST CRESCENT SEAHILL SINGAPORE 126797,15806.451612903224,15681.428238022969,private,103.76445303124956,1.2989145936878803,CLEMENTI,CLEMENTI WEST
THE INFINITI,39C WEST COAST PARK THE INFINITI SINGAPORE 127714,13504.273504273504,13539.63329988785,private,103.75538870759289,1.3190176730590386,CLEMENTI,WEST COAST
CHESTER PARK,7 LORONG SARHAD CHESTER PARK SINGAPORE 119135,20762.71186440678,20762.71186440678,private,103.78740421403064,1.2812386460886025,QUEENSTOWN,PASIR PANJANG 2
ALEXIS,356 ALEXANDRA ROAD ALEXIS SINGAPORE 159949,17868.248772504092,17155.55462376716,private,103.8073548186114,1.291133405459619,QUEENSTOWN,MEI CHIN
CLYDESVIEW,16A JERVOIS LANE CLYDESVIEW SINGAPORE 159192,15255.102040816326,15193.413606521117,private,103.81810758592523,1.2940922282047955,TANGLIN,CHATSWORTH
LANDED HOUSING DEVELOPMENT in BUKIT TERESA CLOSE,10D BUKIT TERESA CLOSE TERESA 8 SINGAPORE 099802,14839.805825242718,14839.805825242718,private,103.8252095197612,1.2765449813849752,BUKIT MERAH,TELOK BLANGAH RISE
REGENCY SUITES,36 KIM TIAN ROAD REGENCY SUITES SINGAPORE 169279,21590.90909090909,20576.6835575769,private,103.82913845041104,1.2843410462105875,BUKIT MERAH,TIONG BAHRU STATION
LANDED HOUSING DEVELOPMENT in SIOK WAN CLOSE,7 SIOK WAN CLOSE SINGAPORE 118200,15036.294503975112,15036.294503975112,private,103.78946150375724,1.27810393095192,QUEENSTOWN,PASIR PANJANG 2
LANDED HOUSING DEVELOPMENT in OCEAN DRIVE,OCEAN DRIVE,21679.843376734883,21517.58116071944,private,103.84180381813462,1.249567966254121,SOUTHERN ISLANDS,SENTOSA
DORSETT RESIDENCES,331 NEW BRIDGE ROAD DORSETT RESIDENCES SINGAPORE 088764,22318.840579710144,22329.81376818262,private,103.84035867326892,1.2800452932795392,OUTRAM,CHINATOWN
LANDED HOUSING DEVELOPMENT in GUOK AVENUE,5 GUOK AVENUE SINGAPORE 119635,19393.939393939392,19393.939393939392,private,103.7727814638773,1.291841937208288,QUEENSTOWN,PASIR PANJANG 1
THE RIVERSIDE PIAZZA,11 KENG CHEOW STREET THE RIVERSIDE PIAZZA SINGAPORE 059608,17074.468085106382,17074.468085106382,private,103.84396002210558,1.2885263517987662,SINGAPORE RIVER,CLARKE QUAY
THE M,38 MIDDLE ROAD THE M SINGAPORE 188947,26663.26530612245,27248.11029938886,private,103.85589347604156,1.2979764045046582,DOWNTOWN CORE,BUGIS
GLORIA MANSION,25 HOLLAND RISE ZION MANSION SINGAPORE 279220,20835.80320094843,20835.80320094843,private,103.7804240880658,1.2868802882032024,QUEENSTOWN,PASIR PANJANG 1
WEST COAST GARDENS,21 WEST COAST GROVE WEST COAST GARDENS SINGAPORE 127832,15764.831272215475,16840.141429607986,private,103.7563318444485,1.3144005376139178,CLEMENTI,WEST COAST
STIRLING RESIDENCES,25 STIRLING ROAD STIRLING RESIDENCES SINGAPORE 148962,22297.87234042553,22436.147384690583,private,103.8045736105594,1.2911495063939769,QUEENSTOWN,MEI CHIN
THE PEAK,37 PEPYS ROAD THE PEAK SINGAPORE 118456,14486.395780894163,14614.842374564529,private,103.7932264339511,1.2804724501641676,QUEENSTOWN,PASIR PANJANG 2
MARINA ONE RESIDENCES,23 MARINA WAY MARINA ONE RESIDENCES SINGAPORE 018979,25159.375,25705.43160922579,private,103.85369494025056,1.2772242561769445,DOWNTOWN CORE,CENTRAL SUBZONE
THE ROCHESTER RESIDENCES,33 ROCHESTER DRIVE THE ROCHESTER RESIDENCES SINGAPORE 138638,15610.526315789471,15598.0615257451,private,103.78834056643105,1.305210733948717,QUEENSTOWN,ONE NORTH
SPOTTISWOODE RESIDENCES,48 SPOTTISWOODE PARK ROAD SPOTTISWOODE RESIDENCES SINGAPORE 088660,22972.972972972973,23106.884639460688,private,103.83683222509148,1.2752711522384153,BUKIT MERAH,EVERTON PARK
EMERALD GARDEN,33 CLUB STREET EMERALD GARDEN SINGAPORE 069415,22173.295454545456,22533.69555687393,private,103.84647257005696,1.281548629255539,OUTRAM,CHINATOWN
WATERLOO VIEW,166 WATERLOO STREET WATERLOO VIEW SINGAPORE 187963,10363.636363636364,10363.636363636364,private,103.8527198174766,1.3007637835507608,ROCHOR,VICTORIA
TEXTILE CENTRE,200 JALAN SULTAN TEXTILE CENTRE SINGAPORE 199018,11153.116531165311,11222.081086770278,private,103.86141291439408,1.3036243614922214,KALLANG,CRAWFORD
PRINCIPAL GARDEN,99 PRINCE CHARLES CRESCENT PRINCIPAL GARDEN SINGAPORE 159029,21111.11111111111,21622.11174892573,private,103.82283669393536,1.292375067444936,BUKIT MERAH,ALEXANDRA NORTH
HIGH STREET CENTRE,1 NORTH BRIDGE ROAD HIGH STREET CENTRE SINGAPORE 179094,19387.755102040817,19387.755102040817,private,103.84921063350028,1.2900375640004642,DOWNTOWN CORE,CITY HALL
RESIDENTIAL APARTMENTS,112 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238707,20833.33333333333,20833.33333333333,private,103.8522446666433,1.3015689768441334,ROCHOR,BENCOOLEN
PARC CLEMATIS,8E JALAN LEMPENG PARC CLEMATIS SINGAPORE 128827,18014.38848920863,18523.71283098687,private,103.75961818287844,1.3164018387608052,CLEMENTI,FABER
ASCENTIA SKY,3 ALEXANDRA VIEW ASCENTIA SKY SINGAPORE 158749,17804.43974630021,17744.78595075066,private,103.81700026563036,1.290951037135854,BUKIT MERAH,REDHILL
VENTANA VILLAS,73B PASIR PANJANG HILL VENTANA VILLAS SINGAPORE 118908,17264.276228419654,18898.08780429271,private,103.78564011145347,1.2815794832413678,QUEENSTOWN,PASIR PANJANG 1
CLEMENTIWOODS CONDOMINIUM,88 WEST COAST ROAD CLEMENTIWOODS CONDOMINIUM SINGAPORE 126819,13075.268817204302,13219.512607766808,private,103.76819367598496,1.296737346631761,CLEMENTI,CLEMENTI WOODS
LANDED HOUSING DEVELOPMENT in FABER DRIVE,89 FABER DRIVE FABER HILLS SINGAPORE 129400,11419.87484012274,11419.87484012274,private,103.75620933333258,1.319853289512296,CLEMENTI,FABER
MARINA COLLECTION,17 COVE DRIVE MARINA COLLECTION SINGAPORE 098329,19311.600561600564,18914.451423919705,private,103.83981225854374,1.244201732516356,SOUTHERN ISLANDS,SENTOSA
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,13 OCEAN WAY THE RESIDENCES AT W SINGAPORE SENTOSA COVE SINGAPORE 098373,19371.99519230769,19292.83915134465,private,103.84306431897971,1.246513532437128,SOUTHERN ISLANDS,SENTOSA
AVENUE SOUTH RESIDENCE,13 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168878,23852.272727272728,23652.28770345653,private,103.8297033942662,1.276748602077053,BUKIT MERAH,KAMPONG TIONG BAHRU
CANNINGHILL PIERS,1 CLARKE QUAY CANNINGHILL PIERS SINGAPORE 179882,31055.24861878453,31673.48209106038,private,103.84505559206158,1.2915409957111088,SINGAPORE RIVER,CLARKE QUAY
THE VERANDAH RESIDENCES,231 PASIR PANJANG ROAD THE VERANDAH RESIDENCES SINGAPORE 117629,21321.83908045977,21256.109387435685,private,103.78472675550265,1.2792875044781815,QUEENSTOWN,PASIR PANJANG 1
BLAIR PLAIN CONSERVATION AREA,51 BLAIR ROAD BLAIR PLAIN CONSERVATION AREA SINGAPORE 089951,35097.81357882624,33626.66697139802,private,103.83578684135152,1.2757042021123712,BUKIT MERAH,EVERTON PARK
THE REGENCY AT TIONG BAHRU,38 CHAY YAN STREET THE REGENCY AT TIONG BAHRU SINGAPORE 169907,23456.98805838125,23199.626987789718,private,103.83010164258611,1.2821515446939518,BUKIT MERAH,TIONG BAHRU
LE HILL CONDOMINIUM,46 PASIR PANJANG HILL LE HILL CONDOMINIUM SINGAPORE 118896,13887.727963525836,13785.32110516204,private,103.78468469405765,1.2831845476963577,QUEENSTOWN,PASIR PANJANG 1
GRYPHON TERRACE,348F PASIR PANJANG ROAD GRYPHON TERRACE SINGAPORE 118820,10276.497695852537,10276.497695852537,private,103.77625438417112,1.2901257414774678,QUEENSTOWN,PASIR PANJANG 1
YONG SIAK VIEW,23 YONG SIAK STREET YONG SIAK VIEW SINGAPORE 168652,16858.695652173912,17283.350965804384,private,103.83007700837314,1.2828344765601554,BUKIT MERAH,TIONG BAHRU
GOLDEN MILE COMPLEX,5001 BEACH ROAD OCBC GOLDEN MILE COMPLEX SINGAPORE 199588,6595.03445581131,6595.03445581131,private,103.8651721345018,1.302771205081821,KALLANG,CRAWFORD
MIDTOWN MODERN,18 TAN QUEE LAN STREET MIDTOWN MODERN SINGAPORE 188105,29624.60609243697,30404.69476680028,private,103.85708843928076,1.2985052226238205,DOWNTOWN CORE,BUGIS
THE CLEMENT CANOPY,18 CLEMENTI AVENUE 1 THE CLEMENT CANOPY SINGAPORE 129961,18860.29411764706,18788.465242835893,private,103.7685369228942,1.3066762481543326,CLEMENTI,CLEMENTI WOODS
SPOTTISWOODE PARK,107 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080107,10084.745762711864,10169.882797274078,private,103.8349178642406,1.2735949585889834,BUKIT MERAH,EVERTON PARK
LANDED HOUSING DEVELOPMENT in TREASURE ISLAND,TREASURE ISLAND,16572.62076053443,16572.62076053443,private,103.84311167737708,1.2487493373685772,SOUTHERN ISLANDS,SENTOSA
THE CASSANDRA,132 PASIR PANJANG ROAD THE CASSANDRA SINGAPORE 118549,12898.550724637682,13144.571321358737,private,103.7931768294626,1.2768688805042503,QUEENSTOWN,PASIR PANJANG 2
BANYAN PARK,34 CHWEE CHIAN ROAD BANYAN PARK SINGAPORE 119789,19132.50251240561,19018.231768518533,private,103.78921293533422,1.2796012056900852,QUEENSTOWN,PASIR PANJANG 2
PEPYS HILL CONDOMINIUM,19 PEPYS ROAD PEPYS HILL CONDOMINIUM SINGAPORE 118450,14321.892145055534,13573.34904488672,private,103.79378392629006,1.277746373566088,QUEENSTOWN,PASIR PANJANG 2
THE OCEANFRONT @ SENTOSA COVE,297 OCEAN DRIVE THE OCEANFRONT @ SENTOSA COVE SINGAPORE 098535,17654.588968664775,17770.391634482017,private,103.84251846914482,1.2444030379301774,SOUTHERN ISLANDS,SENTOSA
ECHELON,9 ALEXANDRA VIEW ECHELON SINGAPORE 158742,21621.00456621005,21525.65766259865,private,103.81786692016226,1.2906069454252016,BUKIT MERAH,REDHILL
VILLA DE WEST,385 PASIR PANJANG ROAD VILLA DE WEST SINGAPORE 118719,11744.0,12290.562076761336,private,103.7721144547857,1.2907252914609593,QUEENSTOWN,PASIR PANJANG 1
PARADISE ISLAND,PARADISE ISLAND,16052.887262363573,16419.536198750076,private,103.8440465486428,1.2493240431804593,SOUTHERN ISLANDS,SENTOSA
TERRA HILL,22B YEW SIANG ROAD TERRA HILL SINGAPORE 118955,29050.361570247936,28702.056051818166,private,103.79274385101009,1.278915042096626,QUEENSTOWN,PASIR PANJANG 2
HARVEST MANSIONS,550 HAVELOCK ROAD HARVEST MANSIONS SINGAPORE 169638,13181.818181818182,13460.579479000531,private,103.83184341694655,1.289830342024084,BUKIT MERAH,BUKIT HO SWEE
CONCOURSE SKYLINE,298 BEACH ROAD CONCOURSE SKYLINE SINGAPORE 199554,20934.57943925233,20928.681550760357,private,103.86186558982672,1.3002668990751878,KALLANG,CRAWFORD
24 ONE RESIDENCES,241 PASIR PANJANG ROAD 24 ONE RESIDENCES SINGAPORE 118596,20689.655172413797,19851.08418763591,private,103.784824737338,1.280181197835103,QUEENSTOWN,PASIR PANJANG 1
TANQUEELAN SUITES,9 TAN QUEE LAN STREET TANQUEELAN SUITES SINGAPORE 188098,18885.724399494316,18885.724399494316,private,103.85665227391618,1.2983108327447688,DOWNTOWN CORE,BUGIS
SHEPHERD'S HILL ESTATE,2 BARBARY WALK SHEPHERD'S HILL ESTATE SINGAPORE 149861,17080.745341614907,16600.734898473103,private,103.80550095461336,1.2901943183983235,QUEENSTOWN,MEI CHIN
PASIR PANJANG GARDENS,57 JALAN MAS KUNING PASIR PANJANG GARDENS SINGAPORE 128749,21653.543307086613,21155.707019047262,private,103.76441815309994,1.3084108812196416,CLEMENTI,CLEMENTI CENTRAL
BLUE HORIZON,29 WEST COAST CRESCENT BLUE HORIZON SINGAPORE 128049,12999.7518815648,12986.928903384442,private,103.76509723182168,1.2976821284999007,CLEMENTI,CLEMENTI WEST
VENTANA,95 PASIR PANJANG HILL VENTANA SINGAPORE 118893,13544.909767185563,14011.61236033742,private,103.7848306809804,1.2825080693966386,QUEENSTOWN,PASIR PANJANG 1
EMERALD PARK,6 INDUS ROAD EMERALD PARK TOWER 1 SINGAPORE 169588,13903.349690633668,14601.214686350504,private,103.83009224472296,1.290094674481801,BUKIT MERAH,BUKIT HO SWEE
